name,modalityName,frequency,price
HIDRO (PL ANUAL) 1X NA SEMANA,HIDROGINÁSTICA,ANUAL,87.00
HIDRO (PL MENSAL) 1X NA SEMANA,HIDROGINÁSTICA,MENSAL,115.00
HIDRO (PL MENSAL) 2X NA SEMANA,HIDROGINÁSTICA,MENSAL,162.00
HIDRO (PL MENSAL) 3X NA SEMANA,HIDROGINÁSTICA,MENSAL,182.00
HIDRO (PL SEMESTRAL) 2X NA SEMANA,HIDROGINÁSTICA,SEMESTRAL,148.00
HIDRO (PL TRIMESTRAL) 2X NA SEMANA,HIDROGINÁSTICA,TRIMESTRAL,155.00
HIDRO (PL TRIMESTRAL) 3X NA SEMANA,HIDROGINÁSTICA,TRIMESTRAL,172.00
HIDRO 3ª IDADE (PL ANUAL) 3X NA SEMANA,HIDROGINÁSTICA 3ª IDADE,ANUAL,108.00
HIDRO 3ª IDADE (PL MENSAL) 2X NA SEMANA,HIDROGINÁSTICA 3ª IDADE,MENSAL,117.00
HIDRO 3ª IDADE (PL MENSAL) 3X NA SEMANA,HIDROGINÁSTICA 3ª IDADE,MENSAL,127.00
HIDRO 3ª IDADE (PL SEMESTRAL) 2X NA SEMANA,HIDROGINÁSTICA 3ª IDADE,SEMESTRAL,108.00
HIDRO 3ª IDADE (PL TRIMESTRAL) 2X NA SEMANA,HIDROGINÁSTICA 3ª IDADE,TRIMESTRAL,111.00
NAT. ADUL/ INF 1/2 ( PL ANUAL)  1X NA SEMANA,NATAÇÃO INFANTIL,ANUAL,95.00
NAT. ADUL/ INF 1/2 (PL ANUAL) 2X NA SEMANA,NATAÇÃO INFANTIL,ANUAL,148.00
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA,NATAÇÃO INFANTIL,MENSAL,121.00
NAT. ADUL/ INF 1/2 (PL MENSAL) 2X NA SEMANA,NATAÇÃO INFANTIL,MENSAL,176.00
NAT. ADUL/ INF 1/2 (PL MENSAL) 3X NA SEMANA,NATAÇÃO INFANTIL,MENSAL,202.00
NAT. ADUL/ INF 1/2 (PL SEMESTRAL) 1X NA SEMANA,NATAÇÃO INFANTIL,SEMESTRAL,108.00
NAT. ADUL/ INF 1/2 (PL SEMESTRAL) 2X NA SEMANA,NATAÇÃO INFANTIL,SEMESTRAL,155.00
NAT. ADUL/ INF 1/2 (PL TRIMESTRAL) 1X NA SEMANA,NATAÇÃO INFANTIL,TRIMESTRAL,114.00
NAT. ADUL/ INF 1/2 (PL TRIMESTRAL) 2X NA SEMANA,NATAÇÃO INFANTIL,TRIMESTRAL,165.00
NATAÇÃO BB (PL ANUAL),NATAÇÃO BEBÊS,ANUAL,128.00
NATAÇÃO BB (PL MENSAL),NATAÇÃO BEBÊS,MENSAL,155.00
NATAÇÃO BB (PL SEMESTRAL),NATAÇÃO BEBÊS,SEMESTRAL,140.00
NATAÇÃO BB (PL TRIMESTRAL),NATAÇÃO BEBÊS,TRIMESTRAL,148.00
ZUMBA (PL MENSAL),ZUMBA,MENSAL,120.00
