PLANO;VALOR;RECORRÊNCIA
NATAÇÃO BB (PL SEMESTRAL);140.00;semestral
NATAÇÃO BB (PL SEMESTRAL);140.00;semestral
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
HIDRO (PL MENSAL) 2X NA SEMANA;162.00;mensal
NATAÇÃO BB (PL ANUAL);128.00;anual
NATAÇÃO BB (PL SEMESTRAL);140.00;semestral
HIDRO (PL MENSAL) 2X NA SEMANA;162.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NATAÇÃO BB (PL SEMESTRAL);140.00;semestral
HIDRO (PL SEMESTRAL) 2X NA SEMANA;148.00;semestral
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
HIDRO 3ª IDADE (PL MENSAL) 2X NA SEMANA;117.00;mensal
HIDRO 3ª IDADE (PL MENSAL) 2X NA SEMANA;117.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
HIDRO 3ª IDADE (PL ANUAL) 3X NA SEMANA;108.00;anual
NATAÇÃO BB (PL TRIMESTRAL);148.00;trimestral
HIDRO (PL MENSAL) 3X NA SEMANA;182.00;mensal
NATAÇÃO BB (PL MENSAL);155.00;mensal
NAT. ADUL/ INF 1/2 (PL SEMESTRAL) 1X NA SEMANA;108.00;semestral
NAT. ADUL/ INF 1/2 (PL SEMESTRAL) 1X NA SEMANA;108.00;semestral
HIDRO 3ª IDADE (PL MENSAL) 2X NA SEMANA;117.00;mensal
HIDRO 3ª IDADE (PL MENSAL) 2X NA SEMANA;117.00;mensal
HIDRO 3ª IDADE (PL TRIMESTRAL) 2X NA SEMANA;111.00;trimestral
NAT. ADUL/ INF 1/2 (PL TRIMESTRAL) 1X NA SEMANA;114.00;trimestral
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 2X NA SEMANA                                                                                                                                ;176.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 ( PL ANUAL)  1X NA SEMANA;95.00;anual
NAT. ADUL/ INF 1/2 ( PL ANUAL)  1X NA SEMANA;95.00;anual
HIDRO (PL ANUAL) 1X NA SEMANA;87.00;anual
ZUMBA (PL MENSAL);120.00;mensal
ZUMBA (PL MENSAL);120.00;mensal
NAT. ADUL/ INF 1/2 ( PL ANUAL)  1X NA SEMANA;95.00;anual
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 ( PL ANUAL)  1X NA SEMANA;95.00;anual
NAT. ADUL/ INF 1/2 (PL TRIMESTRAL) 1X NA SEMANA;114.00;trimestral
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NAT. ADUL/ INF 1/2 (PL MENSAL) 1X NA SEMANA;121.00;mensal
NATAÇÃO BB (PL MENSAL);155.00;mensal
NAT. ADUL/ INF 1/2 (PL ANUAL) 2X NA SEMANA;148.00;anual
HIDRO (PL MENSAL) 1X NA SEMANA;115.00;mensal
